player_id,full_name,position,nfl_team,active,status,injury_status,practice_participation,depth_chart_position,depth_chart_order,league_1389740418316374016,league_1370453762442797056,league_1370218620990263296,league_1366076769534251008,league_1359546418284494848,free_agent_leagues,rostered_leagues,my_leagues,my_start_leagues,opponent_leagues,multi_league_free_agent,rostered_somewhere_free_somewhere
8112,Drake London,WR,ATL,True,Active,,,LWR,1,OPP,OWNED,OWNED,OPP,PREDRAFT,0,4,0,0,2,False,False
8137,George Pickens,WR,DAL,True,Active,,,RWR,2,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
5947,Jakobi Meyers,WR,JAX,True,Active,Questionable,,RWR,3,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
11646,Jalen Coker,WR,CAR,True,Active,,,SWR,2,OWNED,OWNED,OWNED,OPP,PREDRAFT,0,4,0,0,1,False,False
8148,Jameson Williams,WR,DET,True,Active,,,RWR,2,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
9488,Jaxon Smith-Njigba,WR,SEA,True,Active,,,LWR,1,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
7526,Jaylen Waddle,WR,DEN,True,Active,,,RWR,1,OPP,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,1,False,False
9756,Jordan Addison,WR,MIN,True,Active,,,RWR,2,OWNED,OWNED,OPP,OWNED,PREDRAFT,0,4,0,0,1,False,False
13281,Jordyn Tyson,WR,NO,True,Inactive,IR,,RWR,10,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
6794,Justin Jefferson,WR,MIN,True,Active,,,LWR,1,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
8134,Khalil Shakir,WR,BUF,True,Active,Questionable,,SWR,2,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
11635,Ladd McConkey,WR,LAC,True,Active,,,SWR,1,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
13294,Makai Lemon,WR,PHI,True,Active,,,SWR,3,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
12501,Matthew Golden,WR,GB,True,Active,,,RWR,3,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
6819,Michael Pittman,WR,PIT,True,Active,Questionable,,RWR,2,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
10232,Michael Wilson,WR,ARI,True,Active,,,RWR,2,OWNED,OWNED,OPP,OWNED,PREDRAFT,0,4,0,0,1,False,False
7569,Nico Collins,WR,HOU,True,Active,,,LWR,1,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
